id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
24,2025-06-19 02:03:05.219,2025-06-19 02:03:05.192,-2.564189910888672,-2.8610711097717285,7.4316020011901855,-0.09651670604944229,0.7428121566772461,2.012190103530884,2025-06-19 02:03:05.159,505,2433,-7010,4862,772,182
25,2025-06-19 02:03:05.319,2025-06-19 02:03:05.305,-4.1395745277404785,-6.909666061401367,12.751518249511719,-1.8472565412521362,-2.004859685897827,1.8191566467285156,2025-06-19 02:03:05.258,963,2002,-7274,102,163,-103
26,2025-06-19 02:03:05.420,2025-06-19 02:03:05.382,-4.627991676330566,-6.665457725524902,7.072471618652344,-3.565009593963623,-2.032959461212158,0.1514945775270462,2025-06-19 02:03:05.380,975,2042,-7260,-299,-69,89
27,2025-06-19 02:03:05.550,2025-06-19 02:03:05.487,-0.6129156351089478,-5.082890033721924,7.036558628082275,-0.3885102868080139,-2.428800106048584,-0.588874101638794,2025-06-19 02:03:05.423,992,2331,-7239,-296,-90,62
28,2025-06-19 02:03:05.619,2025-06-19 02:03:05.604,-0.3758896589279175,-6.423643112182617,6.768408298492432,1.4172073602676392,-1.0653489828109741,-0.7147123217582703,2025-06-19 02:03:05.504,980,2351,-7258,-271,117,38
29,2025-06-19 02:03:05.719,2025-06-19 02:03:05.683,-0.3758896589279175,-6.423643112182617,6.768408298492432,1.4172073602676392,-1.0653489828109741,-0.7147123217582703,2025-06-19 02:03:05.682,992,2372,-7231,15,-127,54
30,2025-06-19 02:03:05.819,2025-06-19 02:03:05.784,3.050212860107422,-4.24970817565918,9.311050415039062,1.3267992734909058,-0.33719760179519653,-0.7012733221054077,2025-06-19 02:03:05.783,991,2367,-7239,44,124,46
31,2025-06-19 02:03:05.920,2025-06-19 02:03:05.899,2.4420857429504395,-3.8139634132385254,8.480262756347656,0.3396410644054413,0.1111774742603302,0.05253441259264946,2025-06-19 02:03:05.870,977,2368,-7223,54,118,47
32,2025-06-19 02:03:06.055,2025-06-19 02:03:05.991,2.5522189140319824,-3.646369218826294,8.676587104797363,0.3689626157283783,-0.1612684279680252,-0.17470745742321014,2025-06-19 02:03:05.960,1001,2368,-7211,49,-13,89
33,2025-06-19 02:03:06.135,2025-06-19 02:03:06.088,2.410961151123047,-3.1435868740081787,8.983044624328613,0.4080579876899719,0.25534167885780334,-0.15882496535778046,2025-06-19 02:03:06.060,992,2375,-7229,61,-46,72
34,2025-06-19 02:03:06.270,2025-06-19 02:03:06.196,1.7597382068634033,-1.764526605606079,10.946290016174316,1.5027284622192383,0.15882496535778046,-0.20891591906547546,2025-06-19 02:03:06.142,984,2379,-7222,34,-102,59
35,2025-06-19 02:03:06.345,2025-06-19 02:03:06.282,1.4460978507995605,-1.7334020137786865,9.605537414550781,-0.08918632566928864,0.059864792972803116,0.02687807008624077,2025-06-19 02:03:06.216,976,2385,-7228,47,116,52
36,2025-06-19 02:03:06.419,2025-06-19 02:03:06.382,1.460463047027588,-1.702277421951294,9.481039047241211,-0.010995574295520782,0.0012217304902151227,0.004886921960860491,2025-06-19 02:03:06.350,988,2377,-7239,54,-123,56
37,2025-06-19 02:03:06.557,2025-06-19 02:03:06.482,1.522712230682373,-1.6903064250946045,9.509769439697266,0.00855211354792118,-0.0024434609804302454,0.004886921960860491,2025-06-19 02:03:06.403,986,2378,-7232,58,-110,58
38,2025-06-19 02:03:06.664,2025-06-19 02:03:06.582,1.522712230682373,-1.6903064250946045,9.509769439697266,0.00855211354792118,-0.0024434609804302454,0.004886921960860491,2025-06-19 02:03:06.503,981,2383,-7229,53,-121,56
39,2025-06-19 02:03:06.760,2025-06-19 02:03:06.682,1.558625340461731,-1.6376339197158813,9.567230224609375,0.010995574295520782,-0.0024434609804302454,0.00366519158706069,2025-06-19 02:03:06.679,986,2374,-7236,55,-118,57
40,2025-06-19 02:03:06.848,2025-06-19 02:03:06.784,1.4700398445129395,-1.6376339197158813,9.502586364746094,0.009773843921720982,-0.00366519158706069,0.0024434609804302454,2025-06-19 02:03:06.762,980,2371,-7232,45,-117,55
41,2025-06-19 02:03:06.939,2025-06-19 02:03:06.884,1.4628572463989258,-1.6543933153152466,9.5624418258667,0.006108652334660292,-0.004886921960860491,0.00366519158706069,2025-06-19 02:03:06.862,981,2377,-7224,58,-122,59
42,2025-06-19 02:03:07.019,2025-06-19 02:03:07.018,1.5131354331970215,-1.6136919260025024,9.536105155944824,0.00733038317412138,-0.0024434609804302454,0.00366519158706069,2025-06-19 02:03:07.017,983,2372,-7231,53,-119,56
43,2025-06-19 02:03:07.124,2025-06-19 02:03:07.123,1.525106430053711,-1.678335428237915,9.524134635925293,0.00366519158706069,-0.0024434609804302454,0.00366519158706069,2025-06-19 02:03:07.028,975,2367,-7224,47,-114,57
44,2025-06-19 02:03:07.260,2025-06-19 02:03:07.183,1.4891934394836426,-1.5825673341751099,9.552865028381348,0.004886921960860491,-0.00366519158706069,0.0024434609804302454,2025-06-19 02:03:07.129,984,2380,-7219,51,-119,55
